Date,Return,Portfolio
2024-01-01,0.009954086773963883,1.0077321877830612
2024-02-01,0.06303325881096858,1.0688960753582415
2024-03-01,0.018145009850522,1.0858969645234167
2024-04-04,0.04923852147808355,1.1368583226979136
2024-05-08,0.12815403844554457,1.2797296950147168
2024-06-07,0.006986772315520936,1.2858357990941536
2024-07-09,-0.03112313877155897,1.2430757566647286
2024-08-08,0.03638167670889786,1.2854666749070427
2024-09-09,-0.013272715563040039,1.265614550274231
2024-10-09,-0.07324386385183546,1.1703356351540204
2024-11-07,0.035943328084541565,1.2097341097931054
2024-12-10,-0.05233972431842525,1.1438948426759652
2025-01-09,0.02988967521858991,1.1754936999341528
2025-02-06,-0.048894842162343806,1.1155584811468142
2025-03-10,0.033387103997398235,1.1502675799260642
2025-04-11,0.054320706373113745,1.2100828753454915
2025-05-15,-0.017080629507215936,1.1867971875029157
2025-06-13,-0.024382139748794707,1.155313239451971
2025-07-14,-0.015997749688046032,1.1343297996155737
2025-08-12,0.039824741958937517,1.1769092819609976
2025-09-12,0.0039200504995473865,1.1789234755629556
2025-10-14,0.027700569776650075,1.2089148508384882
2025-11-14,-0.012479201989609176,1.191202135398538
2025-12-15,0.00617230593482793,1.1959177792897397
2026-01-14,0.03221849910443562,1.2317326685893453
2026-02-16,0.02536425660698895,1.26019610783211
