Date,Return,Portfolio
2024-01-01,0.05112802675422675,1.0488155450953673
2024-02-01,0.07067345370708329,1.1204684962526024
2024-03-01,0.055499298914411445,1.1800518740833559
2024-04-04,-0.023722480299852515,1.149523588890765
2024-05-08,0.12985074095578167,1.2959327404813406
2024-06-07,0.041579459382536176,1.3468473259955847
2024-07-09,-0.06114478493275462,1.2617127477113261
2024-08-08,0.012266649897705942,1.2743799188392038
2024-09-09,0.007672824456063085,1.2813328646198459
2024-10-09,-0.12161311051265591,1.1230298761747617
2024-11-07,0.0,1.1230298761747617
2024-12-10,0.0,1.1230298761747617
2025-01-09,0.0,1.1230298761747617
2025-02-06,0.0,1.1230298761747617
2025-03-10,0.0,1.1230298761747617
2025-04-11,0.0,1.1230298761747617
2025-05-15,0.0,1.1230298761747617
2025-06-13,0.0,1.1230298761747617
2025-07-14,0.0,1.1230298761747617
2025-08-12,0.0,1.1230298761747617
2025-09-12,0.0,1.1230298761747617
2025-10-14,0.0,1.1230298761747617
2025-11-14,0.0,1.1230298761747617
2025-12-15,0.0,1.1230298761747617
2026-01-14,0.0,1.1230298761747617
2026-02-16,0.0,1.1230298761747617
