Date,Return,Portfolio
2024-01-01,0.009954086773963883,1.0077321877830612
2024-02-01,0.06303325881096858,1.0372056261640898
2024-03-01,0.018145009850522,1.0537024758564248
2024-04-04,0.04923852147808355,1.0772686353768361
2024-05-08,0.12815403844554457,1.2126512465758184
2024-06-07,0.006986772315520936,1.2142103531423567
2024-07-09,-0.03112313877155897,1.1738321911288316
2024-08-08,0.03638167670889786,1.1925557753708045
2024-09-09,-0.013272715563040039,1.1741385216633504
2024-10-09,-0.07324386385183546,1.1286507941899644
2024-11-07,0.035943328084541565,1.1666459798064601
2024-12-10,-0.05233972431842525,1.1031517659343293
2025-01-09,0.02988967521858991,1.1171749859167686
2025-02-06,-0.048894842162343806,1.0602132793517616
2025-03-10,0.033387103997398235,1.0755405984496387
2025-04-11,0.054320706373113745,1.1314700010987058
2025-05-15,-0.017080629507215936,1.1193389159945166
2025-06-13,-0.024382139748794707,1.0896445346346133
2025-07-14,-0.015997749688046032,1.0785505614479665
2025-08-12,0.039824741958937517,1.1190362514169547
2025-09-12,0.0039200504995473865,1.118762885625549
2025-10-14,0.027700569776650075,1.1472237978413409
2025-11-14,-0.012479201989609176,1.1375574348170663
2025-12-15,0.00617230593482793,1.1420607139910843
2026-01-14,0.03221849910443562,1.1579054464354703
2026-02-16,0.02536425660698895,1.1846628526194176
