study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,raw_dir,nifty_features,backtest_csv,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2010-01-01,2010-12-31,3102,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2010.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2010,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2010/_NSEI_features.parquet,results/hmm_vs_flat/yf_2010/2010-01-01_2010-12-31/backtest_hmm_conditioned_portfolio.csv,-0.1617,-3.5405,-8.6844,-2.6679,10.0,0.7502
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2010-01-01,2010-12-31,3102,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2010.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2010,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2010/_NSEI_features.parquet,results/hmm_vs_flat/yf_2010/2010-01-01_2010-12-31/backtest_regime_agnostic_flat_sizing.csv,0.1583,1.3997,-14.8981,1.0482,10.0,0.7502
