date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2024-01-02,-0.0010999999999999998,0.0,49999.99999999999,109.99999999999999,0.0022,0.49999999999999994,HIGH_VOL,"['IREDA_NS', 'ADANIGREEN_NS', 'BDL_NS']",[],False,100000.0,99890.0,0.5,0.49999999999999994,0.4248330100018002,4.811705398018692,0.17264859025700616,-0.0010999999999999899
2024-01-03,-0.0022000000000000006,0.0,99890.00000000003,219.75800000000007,0.0022,0.40000000000000013,BULL,"['IREDA_NS', 'ADANIGREEN_NS', 'NATIONALUM_NS', 'BDL_NS', 'IRFC_NS']",[],False,99890.0,99670.242,-2.220446049250313e-16,1.0000000000000002,0.4837916198583381,11.902506382759523,0.22332180033889357,-0.003297580000000022
2024-01-04,-0.0011,0.0,49835.121,109.6372662,0.0022,0.2,HIGH_VOL,"['IREDA_NS', 'ADANIGREEN_NS', 'NATIONALUM_NS']",[],False,99670.242,99560.6047338,0.5,0.5,0.4718656675326193,9.169271604657563,0.17812909773041313,-0.004393952661999934
2024-01-05,-0.0022,0.0,99560.6047338,219.03333041436002,0.0022,0.6666666666666666,BULL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS', 'NATIONALUM_NS', 'IRFC_NS']",[],False,99560.6047338,99341.57140338565,0.0,1.0,0.48393733729684146,11.94601583808065,0.23460412546998927,-0.006584285966143466
2024-01-08,-0.0011,0.0,49670.785701692825,109.27572854372423,0.0022,0.2,HIGH_VOL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS']",[],False,99341.57140338565,99232.29567484192,0.5,0.5,0.47897375871129194,10.623241795647886,0.18799505655840992,-0.007677043251580806
2024-01-09,-0.0021999999999999997,0.0,99232.29567484191,218.3110504846522,0.0022,0.39999999999999997,BULL,"['IREDA_NS', 'GMRAIRPORT_NS', 'BDL_NS', 'IRFC_NS', 'IDEA_NS']",[],False,99232.29567484192,99013.98462435727,1.1102230246251565e-16,0.9999999999999999,0.4840577835381143,11.982220479743354,0.23249632447197718,-0.009860153756427348
2024-01-10,-0.0011,0.0,49506.992312178634,108.915383086793,0.0022,0.3333333333333333,HIGH_VOL,"['IREDA_NS', 'NATIONALUM_NS', 'BDL_NS']",[],False,99013.98462435727,98905.06924127048,0.5,0.5,0.44596253577830014,6.117876587598838,0.17814164035057514,-0.010949307587295176
2024-01-11,-0.0022,0.0,98905.06924127048,217.59115233079507,0.0022,0.6666666666666666,BULL,"['GVT&D_NS', 'NATIONALUM_NS', 'BDL_NS', 'YESBANK_NS', 'IRFC_NS']",[],False,98905.06924127048,98687.4780889397,0.0,1.0,0.4583821373676535,7.279357362625571,0.21715448224334458,-0.013125219110603048
2024-01-12,-0.0011,0.0,49343.73904446985,108.55622589783367,0.0022,0.2,HIGH_VOL,"['GVT&D_NS', 'NATIONALUM_NS', 'IRFC_NS']",[],False,98687.4780889397,98578.92186304186,0.5,0.5,0.45394548648895117,6.817025501504344,0.17725566002002188,-0.014210781369581427
2024-01-15,-0.0022,0.0,98578.92186304186,216.8736280986921,0.0022,0.4,BULL,"['GVT&D_NS', 'IRFC_NS', 'LODHA_NS', 'NATIONALUM_NS', 'BDL_NS']",[],False,98578.92186304186,98362.04823494317,0.0,1.0,0.4547769718258693,6.899146742716741,0.21024083869643184,-0.01637951765056833
