study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,raw_dir,nifty_features,backtest_csv,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2012-01-01,2012-12-31,3256,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2012.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2012,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2012/_NSEI_features.parquet,results/hmm_vs_flat/yf_2012/2012-01-01_2012-12-31/backtest_hmm_conditioned_portfolio.csv,3.2799,38.2812,-1.9799,28.3199,10.0,0.7693
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2012-01-01,2012-12-31,3256,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2012.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2012,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2012/_NSEI_features.parquet,results/hmm_vs_flat/yf_2012/2012-01-01_2012-12-31/backtest_regime_agnostic_flat_sizing.csv,1.907,34.4566,-3.8871,25.5807,10.0,0.7693
