date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2012-01-03,0.011787925560861346,0.012049725560861348,11900.000000000022,26.18000000000005,0.0022,0.11900000000000022,HIGH_VOL,"['3MINDIA.NS', 'OBEROIRLTY.NS', 'NMDC.NS']",[],False,100000.0,101178.79255608613,0.8809999999999998,0.11900000000000022,0.04760000000000009,1.0,0.03966666666666674,0.011787925560861279
2012-02-02,0.00921558480298574,0.01031558480298574,50589.39627804307,111.29667181169475,0.0022,0.5,HIGH_VOL,"['NCC.NS', 'KEC.NS', 'BRIGADE.NS']",['NCC.NS'],False,101178.79255608613,102111.21429915045,0.5,0.5,0.4304842514560213,5.103104325156562,0.17294671390096214,0.021112142991504435
2012-03-05,0.013844404015388776,0.014944404015388777,51055.607149575226,112.3223357290655,0.0022,0.5,HIGH_VOL,"['SAREGAMA.NS', 'LINDEINDIA.NS', 'BAJAJFINSV.NS']",['SAREGAMA.NS'],False,102111.21429915045,103524.88320440982,0.5,0.5,0.46223793253643425,7.735282774280263,0.1762189078362185,0.03524883204409823
2012-04-04,0.024877329902950402,0.025977329902950402,51762.44160220491,113.87737152485082,0.0022,0.5,HIGH_VOL,"['SCHNEIDER.NS', 'EICHERMOT.NS', 'NATCOPHARM.NS']",[],False,103524.88320440982,106100.30587705033,0.5,0.5,0.4106026717909241,4.20681307177548,0.172167117169782,0.06100305877050327
2012-05-08,-0.019799070981998523,-0.018699070981998522,53050.15293852516,116.71033646475537,0.0022,0.5,HIGH_VOL,"['RHIM.NS', 'NAVINFLUOR.NS', 'PERSISTENT.NS']","['RHIM.NS', 'NAVINFLUOR.NS', 'PERSISTENT.NS']",False,106100.30587705033,103999.61838977886,0.5,0.5,0.484761083940686,12.198084579922323,0.19050616433966058,0.03999618389778847
2012-06-07,0.030269698155017847,0.03136969815501785,51999.80919488943,114.39958022875675,0.0022,0.5,HIGH_VOL,"['IIFL.NS', 'BERGEPAINT.NS', 'DIVISLAB.NS']",[],False,103999.61838977886,107147.65544667451,0.5,0.5,0.456750363421527,7.102201060294614,0.17722205203604927,0.07147655446674506
2012-07-06,0.013397561719967681,0.014497561719967682,53573.82772333726,117.86242099134198,0.0022,0.5,HIGH_VOL,"['JKCEMENT.NS', 'MANAPPURAM.NS', 'SUNTV.NS']","['JKCEMENT.NS', 'SUNTV.NS']",False,107147.65544667451,108583.17277367118,0.5,0.5,0.41091256485838096,4.218361409333106,0.1707879563331582,0.08583172773671177
2012-08-06,0.06773036029913329,0.0688303602991333,54291.58638683559,119.4414900510383,0.0022,0.5,HIGH_VOL,"['NEULANDLAB.NS', 'ZYDUSLIFE.NS', 'ATUL.NS']",[],False,108583.17277367118,115937.55018805496,0.5,0.5,0.3478266763511794,2.706091981022781,0.17036662012205872,0.1593755018805496
2012-09-07,0.03565947646268642,0.036759476462686416,57968.77509402747,127.53130520686044,0.0022,0.39999999999999997,HIGH_VOL,"['NEULANDLAB.NS', 'MOTHERSON.NS', 'ASTRAL.NS']",['NEULANDLAB.NS'],False,115937.55018805496,120071.82253012744,0.5,0.49999999999999994,0.46858827309240414,8.624979269295164,0.18067999163768514,0.20071822530127426
2012-10-10,0.06869304051248026,0.06979304051248027,60035.91126506372,132.0790047831402,0.0022,0.5,HIGH_VOL,"['ANANTRAJ.NS', 'PGEL.NS', 'NBCC.NS']",['ANANTRAJ.NS'],False,120071.82253012744,128319.9210995968,0.5,0.5,0.49223536932808754,15.086506316189578,0.1940482502188243,0.283199210995968
