Date,Ticker,predicted_alpha,actual_alpha,Period
2010-01-04,3MINDIA.NS,0.0,-0.00919533531896858,Test
2010-01-04,AARTIIND.NS,0.0,0.015996866466649905,Test
2010-01-04,ABB.NS,0.0,0.02176488044796865,Test
2010-01-04,ABBOTINDIA.NS,0.0,1.0271068841734634,Test
2010-01-04,ABREL.NS,0.0,-0.07939086322926553,Test
2010-01-04,ACC.NS,0.0,-0.008944471996678041,Test
2010-01-04,ACE.NS,0.0,0.01924005870783145,Test
2010-01-04,ADANIENT.NS,0.0,0.08136054531406486,Test
2010-01-04,ADANIPORTS.NS,0.0,0.21545972035326558,Test
2010-01-04,ADANIPOWER.NS,0.0,0.05749732167176818,Test
2010-01-04,AIAENG.NS,0.0,-0.09397204328343495,Test
2010-01-04,AJANTPHARM.NS,0.0,0.1975577025846278,Test
2010-01-04,AMBUJACEM.NS,0.0,-0.003067756532273397,Test
2010-01-04,ANANTRAJ.NS,0.0,0.00011118214546695926,Test
2010-01-04,APARINDS.NS,0.0,0.01064514472770825,Test
2010-01-04,APOLLOHOSP.NS,0.0,0.0029821959858928743,Test
2010-01-04,APOLLOTYRE.NS,0.0,0.11189359485361346,Test
2010-01-04,ASAHIINDIA.NS,0.0,-0.05965803965433226,Test
2010-01-04,ASHOKLEY.NS,0.0,0.0179651564162299,Test
2010-01-04,ASIANPAINT.NS,0.0,0.0886452587141424,Test
2010-01-04,ASTRAL.NS,0.0,0.03241858918021841,Test
2010-01-04,ATUL.NS,0.0,-0.09993645979560953,Test
2010-01-04,AUROPHARMA.NS,0.0,-0.023308116492903902,Test
2010-01-04,AXISBANK.NS,0.0,0.12335819851477421,Test
2010-01-04,BAJAJ-AUTO.NS,0.0,-0.006053191033518084,Test
2010-01-04,BAJAJFINSV.NS,0.0,-0.01938228080930538,Test
2010-01-04,BAJAJHLDNG.NS,0.0,-0.07742924598193031,Test
2010-01-04,BAJFINANCE.NS,0.0,-0.07911016568800984,Test
2010-01-04,BALKRISIND.NS,0.0,0.10731902424597554,Test
2010-01-04,BALRAMCHIN.NS,0.0,-0.10428793168953618,Test
2010-01-04,BANKBARODA.NS,0.0,0.16468166420712183,Test
2010-01-04,BANKINDIA.NS,0.0,-0.04310831635609403,Test
2010-01-04,BATAINDIA.NS,0.0,-0.003656149632690238,Test
2010-01-04,BAYERCROP.NS,0.0,0.010857719600948695,Test
