Date,Ticker,predicted_alpha,actual_alpha,Period
2013-01-02,ABB.NS,0.0,-0.0354537418291462,Test
2013-01-02,ADANIENT.NS,0.0,-0.04920681782273206,Test
2013-01-02,ADANIPORTS.NS,0.0,0.07565273201366303,Test
2013-01-02,ADANIPOWER.NS,0.0,-0.016550053303798856,Test
2013-01-02,AMBUJACEM.NS,0.0,0.041607824985164375,Test
2013-01-02,APOLLOHOSP.NS,0.0,0.0,Test
2013-01-02,ASIANPAINT.NS,0.0,0.011216682653642696,Test
2013-01-02,AXISBANK.NS,0.0,0.08699180696020026,Test
2013-01-02,BAJAJ-AUTO.NS,0.0,0.0,Test
2013-01-02,BAJAJFINSV.NS,0.0,-0.06721477676844485,Test
2013-01-02,BAJAJHLDNG.NS,0.0,-0.03365528936487101,Test
2013-01-02,BAJFINANCE.NS,0.0,-0.016414510726949143,Test
2013-01-02,BANKBARODA.NS,0.0,-0.017426579746985017,Test
2013-01-02,BEL.NS,0.0,0.01367892249014533,Test
2013-01-02,BHARTIARTL.NS,0.0,0.0,Test
2013-01-02,BOSCHLTD.NS,0.0,-0.0143186820527172,Test
2013-01-02,BPCL.NS,0.0,0.0,Test
2013-01-02,BRITANNIA.NS,0.0,0.0009250041348341786,Test
2013-01-02,CANBK.NS,0.0,-0.07731976433906143,Test
2013-01-02,CGPOWER.NS,0.0,-0.09182241871774338,Test
2013-01-02,CHOLAFIN.NS,0.0,0.04661932905029685,Test
2013-01-02,CIPLA.NS,0.0,-0.000496697496161165,Test
2013-01-02,COALINDIA.NS,0.0,0.010947806368721176,Test
2013-01-02,CUMMINSIND.NS,0.0,-0.013163747461296095,Test
2013-01-02,DIVISLAB.NS,0.0,-0.019695789337950943,Test
2013-01-02,DLF.NS,0.0,0.0,Test
2013-01-02,DRREDDY.NS,0.0,0.07356562539724243,Test
2013-01-02,EICHERMOT.NS,0.0,-0.0036414374283834632,Test
2013-01-02,GAIL.NS,0.0,-0.17706289500932737,Test
2013-01-02,GODREJCP.NS,0.0,0.03748137422908229,Test
2013-01-02,GRASIM.NS,0.0,-0.016888738616923672,Test
2013-01-02,HCLTECH.NS,0.0,0.03416124683955396,Test
2013-01-02,HDFCBANK.NS,0.0,-0.06148685182369275,Test
2013-01-02,HINDALCO.NS,0.0,-0.06849447413983298,Test
2013-01-02,HINDUNILVR.NS,0.0,-0.06656597993971063,Test
2013-01-02,HINDZINC.NS,0.0,0.009753239060290061,Test
2013-01-02,ICICIBANK.NS,0.0,0.019636722898747662,Test
2013-01-02,INDHOTEL.NS,0.0,0.0,Test
2013-01-02,INDIGO.NS,0.0,0.0828486857218583,Test
2013-01-02,INFY.NS,0.0,0.12464683962981161,Test
2013-01-02,IOC.NS,0.0,0.07168295722019535,Test
2013-01-02,ITC.NS,0.0,0.1212229682138063,Test
2013-01-02,JINDALSTEL.NS,0.0,-0.022309188078609543,Test
2013-01-02,JSWSTEEL.NS,0.0,0.14605857628901842,Test
2013-01-02,KOTAKBANK.NS,0.0,0.04020994692004439,Test
2013-01-02,LT.NS,0.0,-0.07565273201366303,Test
2013-01-02,M&M.NS,0.0,-0.04531886046492036,Test
2013-01-02,MARUTI.NS,0.0,0.0241113506996265,Test
2013-01-02,MOTHERSON.NS,0.0,0.0036414374283834632,Test
2013-01-02,MUTHOOTFIN.NS,0.0,0.07994977804317888,Test
2013-01-02,NESTLEIND.NS,0.0,-0.0009250041348341786,Test
2013-01-02,NTPC.NS,0.0,0.023432299272453404,Test
