Date,Ticker,score,actual_alpha,Period,momentum
2020-04-30,PATANJALI.NS,1.0228475922367766,0.3795428187853038,Train,1.0228475922367766
2020-04-30,TATACOMM.NS,0.5917428785039298,-0.0845604922483497,Train,0.5917428785039298
2020-04-30,AUROPHARMA.NS,0.5491255497432329,0.1253779904604317,Train,0.5491255497432329
2020-04-30,GLENMARK.NS,0.4817319918113952,0.1096472143000423,Train,0.48173199181139525
2020-04-30,KPITTECH.NS,0.4698242991471714,-0.0574463965795528,Train,0.46982429914717144
2020-04-30,CGPOWER.NS,0.4537836529160713,-0.188019043713626,Train,0.4537836529160713
2020-04-30,IRCTC.NS,0.4362313517786069,0.0052846517418892,Train,0.4362313517786069
2020-04-30,CIPLA.NS,0.4232184187372019,0.0453372794338226,Train,0.42321841873720195
2020-04-30,LAURUSLABS.NS,0.4047827171670669,-0.1260082102834656,Train,0.4047827171670669
2020-04-30,LUPIN.NS,0.4022677038766268,0.0092085378080423,Train,0.4022677038766268
2020-04-30,SAIL.NS,0.3791273704788734,-0.097443077918929,Train,0.37912737047887346
2020-04-30,SUZLON.NS,0.3677247856734955,0.1431006505640553,Train,0.36772478567349554
2020-04-30,MUTHOOTFIN.NS,0.3525271799131474,0.0435491994834432,Train,0.35252717991314747
2020-04-30,PIIND.NS,0.3380967615949772,0.0,Train,0.33809676159497726
2020-04-30,ADANIGREEN.NS,0.324709841321919,0.2452398666710248,Train,0.324709841321919
2020-04-30,HINDALCO.NS,0.3199429146603226,0.0071378197938687,Train,0.3199429146603226
2020-04-30,RELIANCE.NS,0.3184366302063889,0.0470402818573629,Train,0.31843663020638896
2020-04-30,SUNPHARMA.NS,0.3169207845186916,-0.0144766407051381,Train,0.31692078451869166
2020-04-30,DIXON.NS,0.3162919129251969,0.0990143753618573,Train,0.3162919129251969
2020-04-30,MOTHERSON.NS,0.3109859812137103,0.0792504203818164,Train,0.3109859812137103
2020-04-30,VEDL.NS,0.3081773346732055,0.0052688303511379,Train,0.3081773346732055
2020-04-30,OFSS.NS,0.2958611893640888,0.1348747536950416,Train,0.2958611893640888
2020-04-30,UPL.NS,0.2956092180378384,0.0313783343165085,Train,0.2956092180378384
2020-04-30,SRF.NS,0.2939988952822022,0.0098400086080374,Train,0.2939988952822022
2020-04-30,DRREDDY.NS,0.2889276805557174,-0.0433998321900004,Train,0.28892768055571744
2020-04-30,RVNL.NS,0.286704727128701,-0.0312259984422464,Train,0.28670472712870104
