study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,raw_dir,nifty_features,backtest_csv,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2010-01-01,2012-12-31,2652,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2010_2012.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2010_2012,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2010_2012/_NSEI_features.parquet,results/hmm_vs_flat/yf_2010_2012/2010-01-01_2012-12-31/backtest_hmm_conditioned_portfolio.csv,0.1508,0.7879,-12.1649,2.1631,33.0,2.7269
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2010-01-01,2012-12-31,2652,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2010_2012.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2010_2012,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2010_2012/_NSEI_features.parquet,results/hmm_vs_flat/yf_2010_2012/2010-01-01_2012-12-31/backtest_regime_agnostic_flat_sizing.csv,-0.1088,-2.9992,-30.0766,-7.9683,33.0,2.7269
