Scenario,use_momentum,use_hmm_regime,use_finbert_sentiment,use_lora_adapters,CAGR,Sharpe_Net,Max_Drawdown,Win_Rate,predictions_csv,backtest_csv
Baseline: Momentum Only,True,False,False,False,-0.41971118236228944,-2116.607897057211,-0.6948135922175265,0.0,results/ablation/predictions_Baseline_Momentum_Only.csv,results/ablation/backtest_Baseline_Momentum_Only.csv
ML-Enhanced: Momentum + HMM,True,True,False,False,-0.29044258806206746,-6.2437951205070545,-0.5269415199299442,0.0,results/ablation/predictions_ML-Enhanced_Momentum_plus_HMM.csv,results/ablation/backtest_ML-Enhanced_Momentum_plus_HMM.csv
