date,portfolio_return,portfolio_return_gross,trade_value,friction_cost,rebalance_friction_rate,turnover,regime,stocks_held,stops_hit,cash,portfolio_value_start,portfolio_value,cash_weight,invested_weight,kelly_f_star,kelly_b_used,kelly_largest_weight,cumulative_return
2024-01-10,0.10224205136101996,0.10334205136101997,49999.99999999999,109.99999999999999,0.0022,0.49999999999999994,HIGH_VOL,"['GVT&D.NS', 'NATIONALUM.NS', 'BDL.NS']",[],False,100000.0,110224.205136102,0.5,0.49999999999999994,0.44860454772574243,6.332829786875585,0.17623553099492864,0.10224205136102005
2024-02-12,-0.0216172088971663,-0.0199672088971663,82668.1538520765,181.86993847456833,0.0022,0.75,BULL,"['OFSS.NS', 'IREDA.NS', 'IOC.NS']",['IREDA.NS'],False,110224.205136102,107841.46546815077,0.25,0.75,0.48276172184022476,11.603800679599651,0.25,0.07841465468150766
2024-03-13,0.004567421951281715,0.0056674219512817155,53920.73273407538,118.62561201496585,0.0022,0.5,HIGH_VOL,"['TATAINVEST.NS', 'ABB.NS', 'OIL.NS']",['TATAINVEST.NS'],False,107841.46546815077,108334.02294478839,0.5,0.5,0.4907492052335196,14.408125534183965,0.19571702943910696,0.083340229447884
2024-04-16,0.09676000556161689,0.09841000556161689,81250.5172085913,178.75113785890085,0.0022,0.75,BULL,"['EXIDEIND.NS', 'COCHINSHIP.NS', 'VEDL.NS']",[],False,108334.02294478839,118816.42360743845,0.25,0.75,0.27504959560026954,1.9143687470544504,0.25,0.18816423607438448
2024-05-17,0.013819635322954145,0.014259635322954144,23763.284721487693,52.27922638727293,0.0022,0.2,BEAR,"['HINDZINC.NS', 'POWERINDIA.NS', 'SUPREMEIND.NS']","['POWERINDIA.NS', 'SUPREMEIND.NS']",False,118816.42360743845,120458.42325207088,0.8,0.2,0.4330239977052918,5.2458798356640095,0.06894414192241442,0.2045842325207088
2024-06-19,0.05017566997731717,0.050615669977317174,24091.684650414172,53.00170623091118,0.0022,0.19999999999999998,BEAR,"['COCHINSHIP.NS', 'MOTHERSON.NS', 'RVNL.NS']",['COCHINSHIP.NS'],False,120458.42325207088,126502.50534315479,0.8,0.19999999999999998,0.47389491655153215,9.542114091277389,0.07334731992155161,0.2650250534315479
2024-07-19,-0.042036965711288794,-0.0409369657112888,63251.25267157739,139.15275587747027,0.0022,0.4,HIGH_VOL,"['RVNL.NS', 'IREDA.NS', 'MAZDOCK.NS']","['RVNL.NS', 'IREDA.NS', 'MAZDOCK.NS']",False,126502.50534315479,121184.72386365246,0.5,0.5,0.4794035174430139,10.726074963005498,0.17799109724295162,0.21184723863652466
2024-08-20,0.07489617032170251,0.07654617032170251,90888.54289773935,199.95479437502658,0.0022,0.75,BULL,"['SUZLON.NS', 'TRENT.NS', 'MCX.NS']",['SUZLON.NS'],False,121184.72386365246,130260.99558253307,0.25,0.75,0.4690130127603479,8.691844979848614,0.25,0.3026099558253308
2024-09-18,0.0013532510153308663,0.0017932510153308664,26052.199116506614,57.31483805631456,0.0022,0.2,BEAR,"['BSE.NS', 'PREMIERENE.NS', 'RADICO.NS']","['BSE.NS', 'PREMIERENE.NS', 'RADICO.NS']",False,130260.99558253307,130437.27140706315,0.8,0.2,0.4375433365372672,5.520732902052741,0.07015219298826646,0.3043727140706314
2024-10-18,-0.06486009735771421,-0.06321009735771421,97827.95355529737,215.22149782165422,0.0022,0.75,BULL,"['MOTILALOFS.NS', 'NATIONALUM.NS', 'SIEMENS.NS']","['MOTILALOFS.NS', 'SIEMENS.NS']",False,130437.27140706315,121977.09728452643,0.25,0.75,0.46345292210186056,7.891020022606288,0.25,0.21977097284526437
2024-11-19,0.029168065196298245,0.029608065196298244,24395.41945690529,53.66992280519164,0.0022,0.2,BEAR,"['WAAREEENER.NS', 'COFORGE.NS', 'PAYTM.NS']",['WAAREEENER.NS'],False,121977.09728452643,125534.93321057671,0.8,0.2,0.44427537611586243,5.988082391861336,0.0711146839685354,0.25534933210576716
2024-12-19,-0.05548425128437344,-0.05383425128437344,94151.19990793253,207.1326397974516,0.0022,0.75,BULL,"['SWIGGY.NS', 'BDL.NS', 'DIXON.NS']","['SWIGGY.NS', 'BDL.NS', 'DIXON.NS']",False,125534.93321057671,118569.72143135405,0.25,0.75,0.461149747346014,7.600927048611066,0.25,0.18569721431354047
2025-01-20,-0.017809470897452547,-0.017369470897452548,23713.94428627081,52.17067742979578,0.0022,0.2,BEAR,"['IDEA.NS', 'BIOCON.NS', 'SRF.NS']","['IDEA.NS', 'BIOCON.NS']",False,118569.72143135405,116458.05742820329,0.8,0.2,0.4569170386568506,7.11990005282228,0.0721631483598652,0.164580574282033
2025-02-17,-0.020751354869629562,-0.019101354869629564,87343.54307115247,192.15579475653544,0.0022,0.75,BULL,"['GODFRYPHLP.NS', 'UPL.NS', 'BAJFINANCE.NS']",['GODFRYPHLP.NS'],False,116458.05742820329,114041.39495108296,0.25,0.75,0.49693619400994665,17.72645321278443,0.25,0.14041394951082964
2025-03-20,-0.00015436575463770807,0.000285634245362292,22808.278990216593,50.17821377847651,0.0022,0.2,BEAR,"['JSWENERGY.NS', 'MAZDOCK.NS', 'SHRIRAMFIN.NS']","['JSWENERGY.NS', 'MAZDOCK.NS', 'SHRIRAMFIN.NS']",False,114041.39495108296,114023.7908650914,0.8,0.2,0.42055929108312423,4.612521601177809,0.06898312088916692,0.140237908650914
2025-04-24,0.02912639329899359,0.03022639329899359,57011.8954325457,125.42616995160056,0.0022,0.5,HIGH_VOL,"['BSE.NS', 'GODFRYPHLP.NS', 'AUBANK.NS']",[],False,114023.7908650914,117344.89264327024,0.5,0.5,0.4515617590565735,6.59207635430847,0.1773893798220705,0.17344892643270238
2025-05-26,0.03483450635362086,0.03593450635362086,58672.44632163512,129.07938190759728,0.0022,0.5,HIGH_VOL,"['GVT&D.NS', 'BDL.NS', 'MFSL.NS']",[],False,117344.89264327024,121432.5440516172,0.5,0.5,0.4674679780137068,8.453451220264558,0.17643828506954973,0.21432544051617186
2025-06-24,0.08359049804648656,0.08524049804648656,91074.40803871289,200.36369768516838,0.0022,0.75,BULL,"['MCX.NS', 'SWIGGY.NS', 'GLENMARK.NS']",[],False,121432.5440516172,131583.1508879438,0.25,0.75,0.38707278345247814,3.482847175744915,0.25,0.3158315088794381
2025-07-23,-0.0075928423942650675,-0.007152842394265067,26316.630177588762,57.89658639069528,0.0022,0.16000000000000003,BEAR,"['GLENMARK.NS', 'BOSCHLTD.NS', 'PATANJALI.NS']","['GLENMARK.NS', 'PATANJALI.NS']",False,131583.1508879438,130584.06076151085,0.8,0.2,0.4009802400781721,3.8772262728985196,0.0691347678958808,0.30584060761510856
2025-08-22,0.01087813226429371,0.012528132264293711,97938.04557113313,215.4637002564929,0.0022,0.75,BULL,"['PAYTM.NS', 'TVSMOTOR.NS', 'FORTIS.NS']",[],False,130584.06076151085,132004.57144608314,0.25,0.75,0.3616696101861099,2.9371421394016943,0.25,0.3200457144608313
2025-09-23,0.005897042361619084,0.006337042361619085,26400.914289216627,58.08201143627658,0.0022,0.2,BEAR,"['ADANIPOWER.NS', 'IDEA.NS', 'EICHERMOT.NS']","['ADANIPOWER.NS', 'IDEA.NS']",False,132004.57144608314,132783.00799582808,0.8,0.2,0.4665480498101706,8.317620594950402,0.07228467687492116,0.32783007995828073
2025-10-24,0.010725561073671829,0.011165561073671828,26556.601599165617,58.424523518164364,0.0022,0.2,BEAR,"['INDIANB.NS', 'BSE.NS', 'TATACOMM.NS']",[],False,132783.00799582808,134207.18025763318,0.8,0.2,0.33157265764571153,2.4772750544630107,0.06758057344390182,0.34207180257633185
2025-11-25,-0.03764176656864249,-0.03599176656864249,100655.38519322488,221.44184742509475,0.0022,0.75,BULL,"['POWERINDIA.NS', 'BHEL.NS', 'CANBK.NS']",['POWERINDIA.NS'],False,134207.18025763318,129155.38490653964,0.25,0.75,0.43866370175068453,5.593383900783221,0.25,0.2915538490653964
2025-12-24,0.05204986129660485,0.053149861296604844,64577.69245326982,142.0709233971936,0.0022,0.5,HIGH_VOL,"['HINDZINC.NS', 'TMCV.NS', 'ASHOKLEY.NS']",[],False,129155.38490653964,135877.90477663465,0.5,0.5,0.4540447722933164,6.826728485532169,0.17592862005815935,0.3587790477663464
2026-01-27,-0.00930299945708306,-0.00765299945708306,101908.42858247599,224.1985428814472,0.0022,0.75,BULL,"['NATIONALUM.NS', 'BANKINDIA.NS', 'MCX.NS']","['NATIONALUM.NS', 'BANKINDIA.NS']",False,135877.90477663465,134613.83270226803,0.25,0.75,0.4689672226553669,8.684586538577168,0.25,0.3461383270226803
