study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,raw_dir,nifty_features,backtest_csv,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2008-01-01,2010-12-31,4830,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2008_2010.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2008_2010,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2008_2010/_NSEI_features.parquet,results/hmm_vs_flat/yf_2008_2010/2008-01-01_2010-12-31/backtest_hmm_conditioned_portfolio.csv,0.2502,3.6838,-43.2497,10.762,34.0,2.8255
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2008-01-01,2010-12-31,4830,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2008_2010.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2008_2010,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2008_2010/_NSEI_features.parquet,results/hmm_vs_flat/yf_2008_2010/2008-01-01_2010-12-31/backtest_regime_agnostic_flat_sizing.csv,0.1737,0.7623,-52.6576,2.1689,34.0,2.8255
