study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,raw_dir,nifty_features,backtest_csv,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2011-01-01,2011-12-31,3179,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2011.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2011,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2011/_NSEI_features.parquet,results/hmm_vs_flat/yf_2011/2011-01-01_2011-12-31/backtest_hmm_conditioned_portfolio.csv,-0.2292,-5.4368,-11.7454,-4.1949,10.0,0.7666
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2011-01-01,2011-12-31,3179,/Users/shivanshgupta/regime-adaptive-transformer/results/momentum_rankings_yf_2011.csv,/Users/shivanshgupta/regime-adaptive-transformer/data/raw_yf_2011,/Users/shivanshgupta/regime-adaptive-transformer/data/processed_yf_2011/_NSEI_features.parquet,results/hmm_vs_flat/yf_2011/2011-01-01_2011-12-31/backtest_regime_agnostic_flat_sizing.csv,0.1414,0.4688,-14.7987,0.3591,10.0,0.7666
