study_name,variant,description,window_start,window_end,n_prediction_rows,predictions_file,sharpe,cagr_pct,max_dd_pct,total_return_pct,n_windows,span_years,backtest_csv
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,hmm_conditioned_portfolio,NIFTY HMM drives sleeves and top-N,2024-01-01,2025-12-31,4800,/Users/shivanshgupta/regime-adaptive-transformer/results/ranking_predictions.csv,0.6632,10.6174,-18.6794,20.8336,23.0,1.8754,results/hmm_vs_flat/2024-01-01_2025-12-31/backtest_hmm_conditioned_portfolio.csv
HMM-conditioned vs regime-agnostic (flat) portfolio sizing,regime_agnostic_flat_sizing,"flat 1.0/1.0/1.0, top_n all regimes",2024-01-01,2025-12-31,4800,/Users/shivanshgupta/regime-adaptive-transformer/results/ranking_predictions.csv,1.3455,43.0382,-19.6755,95.6766,23.0,1.8754,results/hmm_vs_flat/2024-01-01_2025-12-31/backtest_regime_agnostic_flat_sizing.csv
